phoneTimestamp,duration
1711125919718,853
1711125920571,906
1711125921477,933
1711125922409,915
1711125923325,912
1711125924237,944
1711125925181,911
1711125926092,838
1711125926929,813
1711125927743,828
1711125928571,858
1711125929429,878
1711125930307,883
1711125931190,857
1711125932047,783
1711125932830,792
1711125933622,880
1711125934502,962
1711125935464,924
1711125936388,888
1711125937276,908
1711125938184,955
1711125939139,948
1711125940087,920
1711125941007,819
1711125941825,841
1711125942667,881
1711125943548,936
1711125944484,919
1711125945403,860
1711125946263,876
1711125947139,915
1711125948054,940
1711125948993,800
1711125949793,756
1711125950550,735
1711125951285,765
1711125952049,788
1711125952838,780
1711125953617,788
1711125954406,786
1711125955192,761
1711125955953,787
1711125956740,797
1711125957537,810
1711125958347,797
1711125959144,809
1711125959953,845
1711125960798,853
1711125961651,864
1711125962515,776
1711125963291,787
1711125964078,848
1711125964926,849
1711125965775,854
1711125966629,887
1711125967516,933
1711125968449,907
1711125969356,919
1711125970275,896
1711125971171,824
1711125971995,753
1711125972748,782
1711125973529,891
1711125974421,956
1711125975377,973
1711125976350,979
1711125977329,964
1711125978293,1006
1711125979299,991
1711125980289,1028
1711125981318,1045
1711125982363,1051
1711125983414,970
1711125984384,1025
1711125985409,1068
1711125986477,962
1711125987439,969
1711125988408,1045
1711125989453,913
1711125990366,871
1711125991237,1000
1711125992237,1018
1711125993255,987
1711125994241,847
1711125995089,883
1711125995972,1008
1711125996980,919
1711125997899,950
1711125998849,960
1711125999809,929
1711126000737,896
1711126001633,964
1711126002598,1020
1711126003617,1017
1711126004635,942
1711126005577,963
1711126006540,1008
1711126007548,1075
1711126008623,1083
1711126009705,1032
1711126010737,959
1711126011697,1015
1711126012712,1105
1711126013817,1141
1711126014958,1062
1711126016020,1046
1711126017065,1104
1711126018169,1134
1711126019304,1053
1711126020357,1044
1711126021401,1096
1711126022497,1084
1711126023581,1020
1711126024601,1043
1711126025644,1075
1711126026719,1109
1711126027828,1054
1711126028881,1009
1711126029891,1052
1711126030943,1076
1711126032019,1048
1711126033067,982
1711126034049,1007
1711126035056,1047
1711126036103,1056
1711126037159,1028
1711126038187,1021
1711126039208,1046
1711126040254,1076
1711126041329,1054
1711126042384,1068
1711126043452,1094
1711126044545,1107
1711126045653,1048
1711126046701,1081
1711126047782,1081
1711126048863,1020
1711126049883,974
1711126050857,986
1711126051843,1011
1711126052854,1045
1711126053899,1068
1711126054967,1040
1711126056007,956
1711126056963,965
1711126057928,1042
1711126058969,1097
1711126060067,1064
1711126061131,991
1711126062121,1025
1711126063147,1047
1711126064193,1052
1711126065246,1049
1711126066295,1027
1711126067321,1044
1711126068366,1026
1711126069392,979
1711126070371,1002
1711126071373,1055
1711126072428,1052
1711126073480,1038
1711126074518,1023
1711126075541,1053
1711126076593,1073
1711126077667,1058
1711126078725,1025
1711126079750,1033
1711126080783,1029
1711126081812,1010
1711126082822,962
1711126083784,975
1711126084759,1023
1711126085782,1009
1711126086791,993
1711126087784,968
1711126088752,1029
1711126089781,1023
1711126090804,991
1711126091795,993
1711126092788,1008
1711126093796,1004
1711126094800,987
1711126095787,959
1711126096745,962
1711126097708,960
1711126098668,937
1711126099605,920
1711126100525,947
1711126101472,984
1711126102456,989
1711126103445,947
1711126104392,957
1711126105349,965
1711126106313,972
1711126107286,920
1711126108206,921
1711126109127,924
1711126110051,933
1711126110984,912
1711126111896,946
1711126112841,975
1711126113817,969
1711126114785,959
1711126115745,991
1711126116736,1010
1711126117745,1001
1711126118747,977
1711126119724,935
1711126120659,961
1711126121620,976
1711126122596,1002
1711126123598,986
1711126124584,921
1711126125505,933
1711126126438,973
1711126127411,1011
1711126128422,996
1711126129417,929
1711126130347,926
1711126131273,941
1711126132214,969
1711126133183,977
1711126134160,970
1711126135129,1024
1711126136153,1035
1711126137189,1012
1711126138201,978
1711126139179,1002
1711126140181,973
1711126141153,967
1711126142121,987
1711126143108,978
1711126144086,938
1711126145024,948
1711126145972,960
1711126146932,938
1711126147870,915
1711126148785,949
1711126149734,973
1711126150707,971
1711126151678,937
