RowIndex,Reason,OriginalLine
66,IBI out of range,Row 66 | Timestamp: 1712016478868 ms | PPG(Green=2161014, Red=2161014, Ir=2161014) | ACC(X=1.86574876308441, Y=0.991553246974945, Z=9.69997787475586) | HR=90 bpm | IBI=0 ms | Participant=P15
67,IBI out of range,Row 67 | Timestamp: 1712016478908 ms | PPG(Green=2161228, Red=2161228, Ir=2161228) | ACC(X=1.83940315246582, Y=0.838269650936127, Z=9.72153282165527) | HR=91 bpm | IBI=0 ms | Participant=P15
68,IBI out of range,Row 68 | Timestamp: 1712016478948 ms | PPG(Green=2161813, Red=2161813, Ir=2161813) | ACC(X=1.81784760951996, Y=1.01310873031616, Z=9.61854553222656) | HR=91 bpm | IBI=0 ms | Participant=P15
69,IBI out of range,Row 69 | Timestamp: 1712016478989 ms | PPG(Green=2162550, Red=2162550, Ir=2162550) | ACC(X=1.82503283023834, Y=0.895750999450684, Z=9.66165637969971) | HR=91 bpm | IBI=0 ms | Participant=P15
70,IBI out of range,Row 70 | Timestamp: 1712016479028 ms | PPG(Green=2163526, Red=2163526, Ir=2163526) | ACC(X=1.90406966209412, Y=0.946047186851502, Z=9.6544713973999) | HR=91 bpm | IBI=0 ms | Participant=P15
71,IBI out of range,Row 71 | Timestamp: 1712016479068 ms | PPG(Green=2164714, Red=2164714, Ir=2164714) | ACC(X=1.78431689739227, Y=0.965207636356354, Z=9.66405200958252) | HR=91 bpm | IBI=0 ms | Participant=P15
72,IBI out of range,Row 72 | Timestamp: 1712016479108 ms | PPG(Green=2165742, Red=2165742, Ir=2165742) | ACC(X=1.81066250801086, Y=0.96041750907898, Z=9.66165637969971) | HR=90 bpm | IBI=0 ms | Participant=P15
73,IBI out of range,Row 73 | Timestamp: 1712016479148 ms | PPG(Green=2167271, Red=2167271, Ir=2167271) | ACC(X=1.76036632061005, Y=0.934071898460388, Z=9.66884136199951) | HR=90 bpm | IBI=0 ms | Participant=P15
74,IBI out of range,Row 74 | Timestamp: 1712016479190 ms | PPG(Green=2168710, Red=2168710, Ir=2168710) | ACC(X=1.74360084533691, Y=0.965207636356354, Z=9.63531112670898) | HR=89 bpm | IBI=0 ms | Participant=P15
75,IBI out of range,Row 75 | Timestamp: 1712016479229 ms | PPG(Green=2170079, Red=2170079, Ir=2170079) | ACC(X=1.68851459026337, Y=0.869405388832092, Z=9.68321228027344) | HR=88 bpm | IBI=0 ms | Participant=P15
76,IBI out of range,Row 76 | Timestamp: 1712016479269 ms | PPG(Green=2171544, Red=2171544, Ir=2171544) | ACC(X=1.789106965065, Y=0.948442220687866, Z=9.69997787475586) | HR=86 bpm | IBI=0 ms | Participant=P15
77,IBI out of range,Row 77 | Timestamp: 1712016479309 ms | PPG(Green=2172947, Red=2172947, Ir=2172947) | ACC(X=1.81305754184723, Y=0.845454812049866, Z=9.70237255096436) | HR=85 bpm | IBI=0 ms | Participant=P15
78,IBI out of range,Row 78 | Timestamp: 1712016479349 ms | PPG(Green=2174582, Red=2174582, Ir=2174582) | ACC(X=1.8537734746933, Y=0.907726287841797, Z=9.67842197418213) | HR=84 bpm | IBI=0 ms | Participant=P15
79,IBI out of range,Row 79 | Timestamp: 1712016479390 ms | PPG(Green=2176033, Red=2176033, Ir=2176033) | ACC(X=1.71725523471832, Y=0.828689455986023, Z=9.71913814544678) | HR=83 bpm | IBI=0 ms | Participant=P15
80,IBI out of range,Row 80 | Timestamp: 1712016479429 ms | PPG(Green=2176410, Red=2176410, Ir=2176410) | ACC(X=1.81545257568359, Y=0.958022475242615, Z=9.72392845153809) | HR=83 bpm | IBI=0 ms | Participant=P15
81,IBI out of range,Row 81 | Timestamp: 1712016479469 ms | PPG(Green=2175847, Red=2175847, Ir=2175847) | ACC(X=1.81305754184723, Y=1.0035285949707, Z=9.69279193878174) | HR=84 bpm | IBI=0 ms | Participant=P15
82,IBI out of range,Row 82 | Timestamp: 1712016479509 ms | PPG(Green=2175043, Red=2175043, Ir=2175043) | ACC(X=1.8082674741745, Y=0.922096610069275, Z=9.71195316314697) | HR=84 bpm | IBI=0 ms | Participant=P15
83,IBI out of range,Row 83 | Timestamp: 1712016479550 ms | PPG(Green=2174738, Red=2174738, Ir=2174738) | ACC(X=1.88969933986664, Y=0.857430100440979, Z=9.69997787475586) | HR=84 bpm | IBI=0 ms | Participant=P15
84,IBI out of range,Row 84 | Timestamp: 1712016479591 ms | PPG(Green=2174756, Red=2174756, Ir=2174756) | ACC(X=1.80587232112884, Y=0.833479523658752, Z=9.66405200958252) | HR=84 bpm | IBI=0 ms | Participant=P15
85,IBI out of range,Row 85 | Timestamp: 1712016479630 ms | PPG(Green=2175136, Red=2175136, Ir=2175136) | ACC(X=1.82263779640198, Y=0.845454812049866, Z=9.76224899291992) | HR=84 bpm | IBI=0 ms | Participant=P15
86,IBI out of range,Row 86 | Timestamp: 1712016479670 ms | PPG(Green=2175606, Red=2175606, Ir=2175606) | ACC(X=1.85137844085693, Y=0.85024493932724, Z=9.7382984161377) | HR=83 bpm | IBI=0 ms | Participant=P15
87,IBI out of range,Row 87 | Timestamp: 1712016479710 ms | PPG(Green=2176226, Red=2176226, Ir=2176226) | ACC(X=1.78192186355591, Y=1.00113344192505, Z=9.6544713973999) | HR=83 bpm | IBI=0 ms | Participant=P15
88,IBI out of range,Row 88 | Timestamp: 1712016479750 ms | PPG(Green=2176857, Red=2176857, Ir=2176857) | ACC(X=1.82263779640198, Y=0.881380677223206, Z=9.4748420715332) | HR=83 bpm | IBI=0 ms | Participant=P15
89,IBI out of range,Row 89 | Timestamp: 1712016479791 ms | PPG(Green=2177624, Red=2177624, Ir=2177624) | ACC(X=1.73641574382782, Y=0.948442220687866, Z=9.64010143280029) | HR=84 bpm | IBI=0 ms | Participant=P15
90,IBI out of range,Row 90 | Timestamp: 1712016479830 ms | PPG(Green=2178673, Red=2178673, Ir=2178673) | ACC(X=1.82024264335632, Y=0.871800422668457, Z=9.60417556762695) | HR=84 bpm | IBI=0 ms | Participant=P15
91,IBI out of range,Row 91 | Timestamp: 1712016479870 ms | PPG(Green=2180150, Red=2180150, Ir=2180150) | ACC(X=1.74839103221893, Y=0.821504294872284, Z=9.72632312774658) | HR=85 bpm | IBI=0 ms | Participant=P15
92,IBI out of range,Row 92 | Timestamp: 1712016479910 ms | PPG(Green=2181386, Red=2181386, Ir=2181386) | ACC(X=1.74360084533691, Y=0.771208107471466, Z=9.72632312774658) | HR=85 bpm | IBI=0 ms | Participant=P15
93,IBI out of range,Row 93 | Timestamp: 1712016479950 ms | PPG(Green=2182937, Red=2182937, Ir=2182937) | ACC(X=1.80587232112884, Y=0.893355965614319, Z=9.70716285705566) | HR=86 bpm | IBI=0 ms | Participant=P15
