phoneTimestamp,sensorTimestamp,ecg
1712091645388,599618674227885984,-171
1712091645396,599618674235546002,-153
1712091645404,599618674243206020,-121
1712091645411,599618674250866038,-91
1712091645419,599618674258526056,-96
1712091645427,599618674266186074,-119
1712091645433,599618674273846092,-119
1712091645441,599618674281506110,-93
1712091645449,599618674289166128,-77
1712091645457,599618674296826146,-98
1712091645465,599618674304486164,-160
1712091645473,599618674312146182,-197
1712091645480,599618674319806200,-169
1712091645488,599618674327466218,-135
1712091645496,599618674335126236,-109
1712091645503,599618674342786254,-89
1712091645511,599618674350446272,-114
1712091645518,599618674358106290,-162
1712091645526,599618674365766308,-146
1712091645534,599618674373426326,-98
1712091645541,599618674381086344,-64
1712091645549,599618674388746362,16
1712091645557,599618674396406380,178
1712091645564,599618674404066398,366
1712091645572,599618674411726416,458
1712091645580,599618674419386434,160
1712091645587,599618674427046452,-471
1712091645595,599618674434706470,-588
1712091645603,599618674442366488,-57
1712091645609,599618674450026506,178
1712091645617,599618674457686524,29
1712091645625,599618674465346542,43
1712091645633,599618674473006560,139
1712091645641,599618674480666578,130
1712091645649,599618674488326596,128
1712091645656,599618674495986614,119
1712091645664,599618674503646632,32
1712091645672,599618674511306650,-13
1712091645679,599618674518966668,16
1712091645687,599618674526626686,50
1712091645695,599618674534286704,73
1712091645702,599618674541946722,66
1712091645710,599618674549606740,18
1712091645718,599618674557296926,6
1712091645725,599618674564956525,57
1712091645733,599618674572616124,64
1712091645741,599618674580275723,4
1712091645748,599618674587935322,-38
1712091645756,599618674595594921,-68
1712091645764,599618674603254520,-91
1712091645771,599618674610914119,-48
1712091645779,599618674618573718,18
1712091645787,599618674626233317,48
1712091645793,599618674633892916,50
1712091645801,599618674641552515,13
1712091645809,599618674649212114,-22
1712091645817,599618674656871713,22
1712091645825,599618674664531312,91
1712091645833,599618674672190911,114
1712091645840,599618674679850510,112
1712091645848,599618674687510109,82
1712091645856,599618674695169708,29
1712091645863,599618674702829307,-2
1712091645871,599618674710488906,-9
1712091645879,599618674718148505,-18
1712091645886,599618674725808104,-22
1712091645894,599618674733467703,-38
1712091645902,599618674741127302,-75
1712091645909,599618674748786901,-123
1712091645917,599618674756446500,-153
1712091645924,599618674764106099,-151
1712091645932,599618674771765698,-125
1712091645940,599618674779425297,-114
1712091645947,599618674787084896,-116
1712091645955,599618674794744495,-105
1712091645963,599618674802404094,-73
1712091645969,599618674810063693,-45
1712091645977,599618674817723292,-43
1712091645985,599618674825382891,-48
1712091645993,599618674833042490,-59
1712091646001,599618674840702089,-105
1712091646009,599618674848361688,-128
1712091646016,599618674856021287,-77
1712091646024,599618674863680886,-41
1712091646032,599618674871340485,-50
1712091646039,599618674879000084,-38
1712091646047,599618674886659683,-22
1712091646055,599618674894319282,-38
1712091646062,599618674901978881,-57
1712091646070,599618674909638480,-64
1712091646078,599618674917298079,-84
1712091646085,599618674924957678,-114
1712091646093,599618674932617277,-114
1712091646101,599618674940276876,-100
1712091646108,599618674947936475,-96
1712091646116,599618674955596074,-87
1712091646124,599618674963255673,-77
1712091646131,599618674970915272,-61
1712091646139,599618674978574871,-50
1712091646147,599618674986234470,-57
1712091646153,599618674993894069,-75
1712091646161,599618675001553668,-105
1712091646169,599618675009213267,-135
1712091646177,599618675016872866,-119
1712091646185,599618675024532465,-77
1712091646193,599618675032192064,-103
1712091646200,599618675039851663,-151
1712091646208,599618675047511262,-132
1712091646216,599618675055170861,-100
1712091646223,599618675062830460,-96
1712091646231,599618675070490059,-71
1712091646239,599618675078149658,-45
1712091646246,599618675085809257,-89
1712091646254,599618675093468856,-139
1712091646262,599618675101128455,-114
1712091646269,599618675108788054,-66
1712091646277,599618675116417554,-45
1712091646284,599618675124077572,-20
1712091646292,599618675131737590,4
1712091646300,599618675139397608,9
1712091646307,599618675147057626,16
1712091646315,599618675154717644,38
1712091646323,599618675162377662,45
1712091646329,599618675170037680,22
1712091646337,599618675177697698,-50
1712091646345,599618675185357716,-155
1712091646353,599618675193017734,-171
1712091646361,599618675200677752,-103
1712091646369,599618675208337770,-66
1712091646376,599618675215997788,-50
1712091646384,599618675223657806,-20
1712091646392,599618675231317824,-18
1712091646399,599618675238977842,-34
1712091646407,599618675246637860,-34
1712091646415,599618675254297878,27
1712091646422,599618675261957896,222
1712091646430,599618675269617914,471
1712091646438,599618675277277932,531
1712091646445,599618675284937950,73
1712091646453,599618675292597968,-632
1712091646461,599618675300257986,-602
1712091646468,599618675307918004,4
1712091646476,599618675315578022,180
1712091646484,599618675323238040,61
1712091646491,599618675330898058,116
1712091646499,599618675338558076,164
1712091646507,599618675346218094,132
1712091646513,599618675353878112,148
1712091646521,599618675361538130,190
1712091646529,599618675369198148,167
1712091646537,599618675376858166,89
1712091646545,599618675384518184,66
1712091646553,599618675392178202,119
1712091646560,599618675399838220,151
1712091646568,599618675407498238,158
1712091646576,599618675415158256,176
1712091646583,599618675422818274,167
1712091646591,599618675430478292,148
1712091646599,599618675438138310,176
1712091646606,599618675445798328,215
1712091646614,599618675453458346,231
1712091646621,599618675461118364,238
1712091646629,599618675468778382,231
1712091646637,599618675476438400,222
1712091646644,599618675484098418,238
1712091646652,599618675491758436,242
1712091646660,599618675499418454,217
1712091646667,599618675507078472,210
1712091646675,599618675514738490,217
1712091646683,599618675522398508,183
1712091646689,599618675530058526,146
1712091646697,599618675537718544,155
1712091646705,599618675545378562,162
1712091646713,599618675553038580,116
1712091646721,599618675560698598,45
1712091646729,599618675568358616,-52
1712091646736,599618675576018634,-151
1712091646744,599618675583678652,-201
1712091646752,599618675591338670,-249
1712091646759,599618675598998688,-300
1712091646767,599618675606658706,-279
1712091646775,599618675614318724,-249
1712091646782,599618675621978742,-251
1712091646790,599618675629638760,-224
1712091646798,599618675637298778,-174
1712091646805,599618675644958796,-153
1712091646813,599618675652618814,-144
1712091646821,599618675660278832,-123
1712091646828,599618675667938850,-107
1712091646836,599618675675598868,-112
1712091646844,599618675683258886,-121
1712091646851,599618675690918904,-132
1712091646859,599618675698578922,-164
1712091646867,599618675706238940,-206
1712091646873,599618675713898958,-261
1712091646881,599618675721558976,-336
1712091646889,599618675729218994,-343
1712091646897,599618675736879012,-316
1712091646905,599618675744539030,-345
1712091646913,599618675752199048,-345
1712091646920,599618675759859066,-293
1712091646928,599618675767519084,-277
1712091646936,599618675775179102,-270
1712091646943,599618675782839120,-233
1712091646951,599618675790499138,-210
1712091646959,599618675798159156,-192
1712091646966,599618675805819174,-160
1712091646974,599618675813479192,-151
1712091646982,599618675821139210,-142
1712091646989,599618675828799228,-112
1712091646997,599618675836459246,-91
1712091647004,599618675844119264,-77
1712091647012,599618675851779282,-50
1712091647020,599618675859439300,-34
1712091647027,599618675867099318,-36
1712091647035,599618675874759336,-29
1712091647043,599618675882419354,-29
1712091647049,599618675890079372,-25
1712091647057,599618675897739390,4
1712091647065,599618675905399408,6
1712091647073,599618675913059426,-54
1712091647081,599618675920719444,-84
1712091647089,599618675928379462,-52
1712091647096,599618675936039480,-27
1712091647104,599618675943699498,-6
1712091647112,599618675951359516,22
1712091647119,599618675959019534,27
1712091647127,599618675966679552,22
1712091647135,599618675974339570,48
1712091647142,599618675981999588,61
1712091647150,599618675989659606,34
1712091647158,599618675997319624,16
1712091647165,599618676004979642,18
1712091647173,599618676012639660,6
1712091647181,599618676020299678,-4
1712091647188,599618676027959696,18
1712091647196,599618676035619714,48
1712091647204,599618676043279732,68
1712091647211,599618676050939750,61
1712091647219,599618676058599768,-2
1712091647227,599618676066259786,-61
1712091647233,599618676073919804,-34
1712091647241,599618676081579822,18
1712091647249,599618676089239840,50
1712091647257,599618676096899858,125
1712091647265,599618676104559876,286
1712091647273,599618676112219894,428
1712091647280,599618676119879912,222
1712091647288,599618676127539930,-469
1712091647296,599618676135199948,-776
1712091647303,599618676142859966,-226
1712091647311,599618676150519984,144
1712091647319,599618676158180002,0
1712091647326,599618676165840020,6
1712091647334,599618676173500038,132
1712091647342,599618676181160056,119
1712091647349,599618676188820074,114
1712091647357,599618676196480092,155
1712091647365,599618676204140110,132
1712091647372,599618676211800128,112
1712091647380,599618676219460146,151
1712091647387,599618676227120164,164
1712091647395,599618676234780182,116
1712091647403,599618676242440200,80
1712091647409,599618676250100218,50
1712091647417,599618676257760236,0
1712091647425,599618676265420254,11
1712091647433,599618676273080272,73
1712091647441,599618676280740290,105
1712091647449,599618676288400308,114
1712091647456,599618676296060326,100
1712091647464,599618676303720344,50
1712091647472,599618676311380362,27
1712091647479,599618676319040380,50
1712091647487,599618676326700398,73
1712091647495,599618676334360416,93
1712091647502,599618676342020434,105
1712091647510,599618676349680452,103
1712091647518,599618676357340470,116
1712091647525,599618676365000488,148
1712091647533,599618676372660506,169
1712091647541,599618676380320524,155
1712091647548,599618676387980542,107
1712091647556,599618676395640560,50
1712091647564,599618676403300578,-2
1712091647571,599618676410960596,-48
1712091647579,599618676418620614,-77
1712091647587,599618676426280632,-89
1712091647593,599618676433940650,-98
1712091647601,599618676441600668,-121
1712091647609,599618676449260686,-162
1712091647617,599618676456920704,-178
1712091647625,599618676464580722,-151
1712091647633,599618676472240740,-171
1712091647640,599618676479900758,-249
1712091647648,599618676487560776,-293
1712091647656,599618676495220794,-300
1712091647663,599618676502880812,-300
1712091647671,599618676510540830,-270
1712091647679,599618676518200848,-240
1712091647686,599618676525860866,-240
1712091647694,599618676533520884,-224
1712091647702,599618676541180902,-201
1712091647709,599618676548840920,-199
1712091647717,599618676556500938,-185
1712091647725,599618676564160956,-158
1712091647732,599618676571820974,-148
1712091647740,599618676579480992,-139
1712091647748,599618676587141010,-135
1712091647755,599618676594801028,-190
1712091647763,599618676602461046,-235
1712091647769,599618676610121064,-203
1712091647777,599618676617781082,-171
1712091647785,599618676625441100,-167
1712091647793,599618676633101118,-142
1712091647801,599618676640761136,-155
1712091647809,599618676648421154,-206
1712091647816,599618676656081172,-194
1712091647824,599618676663741190,-155
1712091647832,599618676671401208,-144
1712091647839,599618676679061226,-119
1712091647847,599618676686721244,-93
1712091647855,599618676694381262,-100
1712091647862,599618676702041280,-98
1712091647870,599618676709701298,-82
1712091647878,599618676717361316,-77
