RowIndex,Reason,OriginalLine
69,HeartRate out of range,Row 69 | Timestamp: 1711604684347 ms | PPG(Green=2118642, Red=2118642, Ir=2118642) | ACC(X=0.888565838336945, Y=-18.8945980072021, Z=-4.67035961151123) | HR=0 bpm | IBI=0 ms | Participant=P13
70,HeartRate out of range,Row 70 | Timestamp: 1711604684387 ms | PPG(Green=2116445, Red=2116445, Ir=2116445) | ACC(X=3.27404189109802, Y=-12.4351320266724, Z=2.87406730651855) | HR=0 bpm | IBI=0 ms | Participant=P13
71,HeartRate out of range,Row 71 | Timestamp: 1711604684428 ms | PPG(Green=2119240, Red=2119240, Ir=2119240) | ACC(X=3.11117792129517, Y=-6.85225582122803, Z=5.28828430175781) | HR=0 bpm | IBI=0 ms | Participant=P13
72,HeartRate out of range,Row 72 | Timestamp: 1711604684468 ms | PPG(Green=2125826, Red=2125826, Ir=2125826) | ACC(X=2.59624099731445, Y=4.89549493789673, Z=12.3920211791992) | HR=0 bpm | IBI=0 ms | Participant=P13
73,HeartRate out of range,Row 73 | Timestamp: 1711604684508 ms | PPG(Green=2124009, Red=2124009, Ir=2124009) | ACC(X=1.29093527793884, Y=-5.86070251464844, Z=5.03201293945313) | HR=0 bpm | IBI=0 ms | Participant=P13
74,HeartRate out of range,Row 74 | Timestamp: 1711604684548 ms | PPG(Green=2116652, Red=2116652, Ir=2116652) | ACC(X=5.72418451309204, Y=-13.0434761047363, Z=4.42845869064331) | HR=0 bpm | IBI=0 ms | Participant=P13
75,HeartRate out of range,Row 75 | Timestamp: 1711604684588 ms | PPG(Green=2121239, Red=2121239, Ir=2121239) | ACC(X=2.71599364280701, Y=-3.87280583381653, Z=9.0988187789917) | HR=0 bpm | IBI=0 ms | Participant=P13
76,HeartRate out of range,Row 76 | Timestamp: 1711604684629 ms | PPG(Green=2124246, Red=2124246, Ir=2124246) | ACC(X=1.5903172492981, Y=-1.56876182556152, Z=9.55148410797119) | HR=0 bpm | IBI=0 ms | Participant=P13
77,HeartRate out of range,Row 77 | Timestamp: 1711604684668 ms | PPG(Green=2122997, Red=2122997, Ir=2122997) | ACC(X=1.27177488803864, Y=-5.98764038085938, Z=7.90608024597168) | HR=0 bpm | IBI=0 ms | Participant=P13
78,HeartRate out of range,Row 78 | Timestamp: 1711604684708 ms | PPG(Green=2121438, Red=2121438, Ir=2121438) | ACC(X=2.74952459335327, Y=-11.8651084899902, Z=7.84620428085327) | HR=0 bpm | IBI=0 ms | Participant=P13
79,HeartRate out of range,Row 79 | Timestamp: 1711604684749 ms | PPG(Green=2121525, Red=2121525, Ir=2121525) | ACC(X=3.06567192077637, Y=-11.8004417419434, Z=8.27970886230469) | HR=0 bpm | IBI=0 ms | Participant=P13
80,HeartRate out of range,Row 80 | Timestamp: 1711604684789 ms | PPG(Green=2122883, Red=2122883, Ir=2122883) | ACC(X=4.05243492126465, Y=-8.82578182220459, Z=8.89284324645996) | HR=0 bpm | IBI=0 ms | Participant=P13
81,HeartRate out of range,Row 81 | Timestamp: 1711604684830 ms | PPG(Green=2123940, Red=2123940, Ir=2123940) | ACC(X=4.89549493789673, Y=-8.59106636047363, Z=7.86775970458984) | HR=0 bpm | IBI=0 ms | Participant=P13
82,HeartRate out of range,Row 82 | Timestamp: 1711604684869 ms | PPG(Green=2123998, Red=2123998, Ir=2123998) | ACC(X=5.79364109039307, Y=-6.83070039749146, Z=6.48341703414917) | HR=0 bpm | IBI=0 ms | Participant=P13
83,HeartRate out of range,Row 83 | Timestamp: 1711604684909 ms | PPG(Green=2123260, Red=2123260, Ir=2123260) | ACC(X=6.41396045684814, Y=-5.83914709091187, Z=5.84154224395752) | HR=0 bpm | IBI=0 ms | Participant=P13
84,HeartRate out of range,Row 84 | Timestamp: 1711604684949 ms | PPG(Green=2123165, Red=2123165, Ir=2123165) | ACC(X=6.27025699615479, Y=-3.08483242988586, Z=5.09907484054565) | HR=0 bpm | IBI=0 ms | Participant=P13
85,HeartRate out of range,Row 85 | Timestamp: 1711604684989 ms | PPG(Green=2123598, Red=2123598, Ir=2123598) | ACC(X=7.00553941726685, Y=-0.969997763633728, Z=5.44156742095947) | HR=0 bpm | IBI=0 ms | Participant=P13
