x,y,z,timestamp
-23,-20,56,1712017384750000
-23,-21,56,1712017384781250
-23,-20,56,1712017384812500
-23,-21,56,1712017384843750
-23,-21,56,1712017384875000
-23,-21,56,1712017384906250
-23,-21,56,1712017384937500
-23,-21,56,1712017384968750
-23,-21,56,1712017385000000
-23,-21,56,1712017385031250
-23,-21,56,1712017385062500
-23,-21,56,1712017385093750
-23,-21,55,1712017385125000
-23,-21,57,1712017385156250
-22,-20,56,1712017385187500
-22,-21,56,1712017385218750
-23,-21,56,1712017385250000
-23,-20,56,1712017385281250
-23,-21,56,1712017385312500
-22,-21,55,1712017385343750
-23,-20,55,1712017385375000
-22,-20,54,1712017385406250
-29,-22,60,1712017385437500
-24,-20,58,1712017385468750
-24,-21,54,1712017385500000
-23,-21,56,1712017385531250
-23,-20,56,1712017385562500
-24,-20,55,1712017385593750
-24,-21,55,1712017385625000
-24,-21,56,1712017385656250
-23,-21,56,1712017385687500
-23,-21,55,1712017385718750
-24,-21,56,1712017385750000
-24,-21,56,1712017385781250
-23,-21,56,1712017385812500
-24,-21,55,1712017385843750
-24,-21,55,1712017385875000
-25,-21,55,1712017385906250
-21,-20,51,1712017385937500
-24,-23,61,1712017385968750
-26,-21,54,1712017386000000
-25,-20,50,1712017386031250
-22,-22,56,1712017386062500
-22,-22,59,1712017386093750
-23,-21,54,1712017386125000
-24,-21,55,1712017386156250
-25,-21,56,1712017386187500
-23,-21,56,1712017386218750
-23,-21,55,1712017386250000
-24,-21,55,1712017386281250
-24,-21,55,1712017386312500
-24,-21,55,1712017386343750
-24,-21,56,1712017386375000
-24,-20,56,1712017386406250
-24,-21,56,1712017386437500
-24,-21,56,1712017386468750
-24,-20,56,1712017386500000
-24,-21,55,1712017386531250
-23,-21,55,1712017386562500
-24,-21,56,1712017386593750
-24,-21,56,1712017386625000
-23,-21,56,1712017386656250
-23,-21,56,1712017386687500
-24,-20,56,1712017386718750
-23,-20,56,1712017386750000
-23,-20,55,1712017386781250
-24,-21,56,1712017386812500
-24,-21,55,1712017386843750
-24,-22,55,1712017386875000
-24,-22,56,1712017386906250
-24,-22,56,1712017386937500
-23,-20,55,1712017386968750
-23,-20,55,1712017387000000
-24,-20,56,1712017387031250
-24,-20,56,1712017387062500
-24,-21,56,1712017387093750
-23,-21,56,1712017387125000
-23,-21,55,1712017387156250
-24,-20,55,1712017387187500
-23,-20,55,1712017387218750
-24,-21,56,1712017387250000
-24,-21,56,1712017387281250
-24,-21,56,1712017387312500
-23,-21,56,1712017387343750
-23,-21,56,1712017387375000
-24,-20,55,1712017387406250
-24,-21,55,1712017387437500
-24,-21,56,1712017387468750
-23,-21,55,1712017387500000
-23,-21,56,1712017387531250
